client_id,age,anciennete_mois,score_credit,type_compte,pays_residence,limite_credit,alertes_precedentes
1475,35,36,837,standard,DE,10000,0
4959,48,205,311,pro,MA,10000,1
13429,24,203,336,standard,MA,10000,0
10569,24,200,783,premium,MA,5000,2
12060,54,216,697,premium,FR,5000,0
11881,49,213,731,standard,MA,20000,1
9647,25,6,753,pro,ES,10000,2
8911,74,202,358,standard,MA,10000,0
10492,48,68,467,standard,MA,5000,0
10501,41,186,500,standard,FR,20000,1
7107,23,179,592,standard,MA,20000,0
4927,29,155,346,standard,MA,5000,1
10959,18,115,763,standard,FR,5000,1
2628,68,125,559,pro,MA,20000,0
14606,66,238,608,standard,ES,5000,0
11225,46,43,307,standard,MA,10000,1
4077,46,123,592,premium,MA,20000,0
10179,57,209,311,standard,MA,10000,0
142,57,200,594,pro,FR,10000,0
13413,62,16,340,pro,FR,5000,0
10831,63,167,385,standard,FR,10000,0
354,72,186,749,premium,MA,10000,0
9232,71,154,473,standard,GB,10000,0
13592,33,146,516,standard,FR,10000,0
541,68,160,529,standard,MA,50000,1
27,33,8,501,standard,FR,10000,1
4702,44,231,372,standard,MA,5000,0
7980,34,235,699,standard,DE,5000,0
579,55,217,600,premium,ES,20000,0
3374,24,106,770,standard,FR,10000,0
13388,46,127,466,standard,DE,20000,0
78,31,57,573,premium,FR,5000,0
2023,44,184,557,standard,MA,10000,0
4869,29,33,765,pro,FR,10000,0
1160,34,88,458,premium,ES,20000,1
10579,27,121,797,standard,FR,20000,1
8772,50,225,560,standard,FR,5000,0
6573,70,24,660,standard,ES,20000,1
8437,30,139,530,standard,FR,10000,0
6556,50,158,761,standard,ES,10000,1
6299,68,32,485,standard,FR,50000,0
5862,74,147,480,standard,DE,5000,0
1269,22,95,554,standard,MA,5000,1
6378,71,159,696,premium,MA,5000,1
12290,58,111,356,standard,DE,5000,0
2707,59,157,496,standard,MA,10000,0
8246,59,89,481,pro,MA,5000,0
1099,60,31,546,premium,FR,5000,1
4615,55,118,400,premium,ES,10000,1
2035,44,17,517,standard,ES,50000,0
13082,67,90,365,standard,ES,10000,0
8715,51,160,776,standard,MA,10000,0
3,50,15,714,premium,MA,20000,0
9284,48,125,623,pro,MA,5000,0
2015,67,70,612,standard,FR,5000,0
7699,51,199,502,standard,ES,5000,1
6195,31,29,563,premium,MA,10000,0
8375,39,145,713,standard,FR,10000,1
13897,21,187,769,standard,ES,20000,0
4525,73,43,455,premium,MA,10000,0
962,34,214,770,standard,FR,20000,0
3260,23,203,798,standard,MA,5000,0
10617,44,164,789,standard,FR,5000,0
2957,67,50,561,standard,DE,10000,0
5163,21,45,847,standard,FR,20000,0
5857,46,168,597,premium,MA,20000,1
2437,31,60,659,standard,MA,10000,0
4577,53,212,485,pro,MA,5000,0
14409,47,9,407,standard,FR,10000,0
3772,27,68,665,premium,MA,5000,0
1300,70,239,685,premium,ES,5000,0
8079,45,206,306,pro,DE,50000,0
2037,71,184,507,premium,FR,5000,0
14837,70,9,403,premium,MA,10000,1
13530,68,171,366,pro,MA,5000,0
6807,41,66,818,standard,MA,5000,0
5369,30,28,560,standard,MA,10000,0
4394,35,202,648,standard,MA,10000,0
4327,35,130,773,standard,MA,10000,0
11970,53,23,721,pro,MA,50000,1
8569,39,227,655,standard,MA,10000,0
1169,41,190,496,standard,MA,10000,1
1143,31,41,300,standard,MA,5000,0
7677,33,45,788,standard,ES,50000,0
6243,20,96,527,standard,FR,10000,0
2122,43,75,704,standard,MA,10000,1
13214,54,126,705,standard,MA,10000,0
13539,70,96,504,standard,GB,50000,1
3430,39,175,837,premium,MA,20000,1
9463,24,141,822,premium,MA,10000,2
2515,36,211,349,standard,MA,10000,0
4451,29,120,642,standard,MA,10000,1
14439,56,210,789,standard,MA,50000,0
5195,66,153,368,standard,MA,5000,2
10880,62,226,477,standard,FR,5000,0
10545,24,140,539,pro,MA,10000,1
3657,20,145,840,pro,ES,20000,0
13137,36,234,513,premium,FR,5000,0
8273,67,152,731,standard,ES,10000,0
14998,65,73,441,standard,MA,5000,1
8561,47,201,567,standard,MA,5000,1
4472,66,26,577,standard,MA,5000,0
1634,27,223,409,premium,MA,5000,0
7291,63,29,428,standard,MA,50000,0
1776,42,67,826,standard,MA,20000,0
13501,62,238,373,pro,MA,20000,0
2294,73,117,559,standard,GB,10000,0
10769,29,67,505,standard,MA,10000,0
7775,63,110,820,standard,ES,10000,2
13046,21,99,511,standard,MA,10000,1
187,56,209,538,premium,ES,50000,0
4581,55,42,671,premium,GB,5000,1
12639,49,92,642,standard,MA,5000,1
2694,36,134,474,standard,MA,5000,0
10675,49,168,569,standard,MA,5000,0
6781,61,154,490,standard,MA,5000,1
6818,45,96,300,premium,FR,5000,0
4690,36,28,732,standard,DE,20000,0
3232,40,182,517,premium,GB,5000,1
3218,36,222,309,standard,MA,10000,1
6116,27,96,637,pro,MA,10000,0
12124,37,46,769,premium,MA,5000,0
13640,41,157,820,standard,MA,5000,0
10147,23,3,348,standard,MA,10000,0
8134,19,215,337,premium,MA,10000,0
11061,50,161,632,standard,FR,20000,0
3496,40,199,641,standard,ES,5000,0
12452,57,183,655,standard,MA,20000,0
12502,19,26,785,standard,MA,10000,0
4781,59,211,443,standard,MA,10000,0
14470,46,44,759,premium,MA,10000,0
13337,23,159,751,premium,MA,10000,0
2386,26,17,759,pro,DE,5000,1
1474,60,136,707,pro,MA,10000,0
14662,74,100,401,premium,FR,10000,1
2171,54,180,718,standard,GB,10000,1
11898,51,180,827,pro,MA,5000,0
14440,72,158,402,premium,FR,20000,0
14005,53,135,844,premium,FR,5000,1
1925,64,229,807,premium,ES,5000,1
11764,63,48,317,premium,MA,5000,0
4106,33,43,814,standard,MA,5000,0
5663,70,119,405,premium,MA,5000,0
1931,36,1,659,pro,MA,20000,0
7683,60,79,769,premium,MA,20000,0
7231,68,163,558,standard,MA,5000,0
11674,30,225,453,premium,FR,5000,1
11341,64,166,325,premium,DE,10000,1
11440,46,153,518,standard,MA,5000,0
14610,18,179,679,standard,ES,10000,2
4926,40,49,494,standard,MA,5000,0
9495,59,73,587,pro,FR,5000,0
14646,53,234,778,standard,MA,5000,1
9502,48,138,833,standard,FR,5000,1
10112,37,134,377,standard,FR,5000,0
12289,50,124,495,standard,MA,10000,0
11370,41,33,582,standard,MA,50000,0
8615,51,18,495,standard,FR,5000,1
3018,63,149,566,standard,MA,5000,0
6118,41,226,714,standard,DE,10000,0
762,42,153,637,standard,MA,20000,1
7234,41,100,568,standard,MA,5000,0
4783,47,100,796,premium,MA,20000,0
11849,23,132,486,standard,DE,5000,1
12779,62,161,648,standard,FR,10000,0
4785,39,181,667,premium,FR,5000,1
11887,53,179,470,premium,FR,10000,1
12218,18,67,743,standard,GB,20000,0
5495,67,176,497,standard,MA,10000,0
3203,61,153,576,standard,ES,5000,0
607,38,189,831,standard,MA,20000,0
13961,43,36,334,standard,MA,20000,0
7203,74,106,420,standard,MA,5000,0
10177,53,43,545,standard,MA,50000,0
6660,44,171,350,standard,MA,10000,0
7503,32,2,356,standard,FR,5000,0
4503,38,86,429,pro,MA,20000,0
12898,48,43,754,standard,GB,20000,0
7067,64,198,692,standard,MA,20000,0
4574,49,78,581,standard,DE,5000,0
2447,18,156,411,standard,MA,20000,0
9630,41,27,493,premium,ES,5000,1
10412,34,41,513,standard,MA,10000,1
7250,58,89,582,standard,DE,5000,1
2542,27,53,343,premium,MA,5000,0
2143,71,126,388,standard,ES,10000,0
2241,36,228,524,standard,MA,10000,0
2378,47,199,483,standard,MA,5000,1
7854,66,62,404,standard,FR,5000,1
1662,66,141,443,standard,MA,10000,0
4160,42,77,798,pro,MA,10000,0
13134,57,81,844,standard,MA,5000,0
9408,66,115,332,standard,FR,5000,0
12743,45,68,793,premium,MA,10000,1
9496,31,230,379,standard,MA,20000,0
5933,23,73,472,standard,FR,10000,1
12627,74,127,824,standard,ES,10000,0
5271,73,158,798,standard,GB,20000,0
10442,61,200,487,standard,MA,10000,0
5073,69,80,424,standard,ES,10000,0
14095,47,98,735,standard,DE,10000,0
2559,53,76,498,standard,MA,5000,0
1202,23,190,678,pro,DE,10000,0
14954,71,114,305,premium,MA,10000,1
5122,43,67,669,premium,DE,10000,0
7393,62,66,715,premium,MA,5000,0
224,20,158,647,premium,ES,10000,0
10301,23,13,628,standard,FR,5000,0
13452,20,185,418,premium,MA,5000,1
1104,37,214,676,pro,MA,50000,0
14390,19,129,653,standard,MA,5000,0
3432,40,161,309,premium,MA,10000,1
10975,46,181,475,standard,ES,10000,0
913,66,238,448,pro,ES,5000,0
12831,70,9,768,premium,MA,5000,0
7662,47,19,755,standard,MA,5000,1
9739,34,197,654,standard,MA,5000,0
10140,37,87,528,standard,ES,5000,1
13920,54,189,493,premium,DE,20000,0
8330,61,215,606,premium,MA,50000,0
436,48,233,759,standard,FR,10000,1
6717,64,1,425,standard,ES,5000,0
7610,55,43,731,pro,FR,10000,0
10863,68,134,749,standard,MA,10000,0
8225,46,129,806,premium,MA,5000,1
13418,24,1,748,standard,MA,5000,0
3269,45,9,392,premium,ES,20000,1
7913,39,229,796,standard,ES,5000,2
3474,52,157,352,premium,GB,5000,0
4356,32,76,359,standard,FR,10000,1
1150,43,134,840,pro,MA,10000,1
1319,22,75,704,standard,MA,50000,0
11975,62,219,498,standard,MA,20000,0
1369,66,143,643,premium,FR,10000,0
8496,30,90,367,standard,MA,50000,0
9174,47,218,537,premium,MA,5000,3
7153,34,230,617,standard,MA,20000,0
14745,51,192,664,standard,MA,5000,0
12883,38,129,568,standard,DE,5000,0
7451,46,205,578,standard,MA,5000,0
1941,43,28,322,standard,MA,20000,0
14311,49,140,688,standard,FR,50000,0
14313,38,171,370,pro,DE,50000,1
1659,54,13,841,standard,FR,20000,0
5402,56,44,357,pro,FR,20000,0
10692,39,162,346,standard,DE,5000,0
1715,58,37,494,standard,MA,20000,1
9351,55,233,802,premium,GB,5000,1
10151,23,186,370,standard,DE,50000,1
12524,31,66,464,premium,MA,50000,0
2940,68,2,468,standard,MA,50000,0
11152,52,39,760,pro,MA,10000,1
8451,72,7,710,standard,FR,5000,0
12174,73,53,347,standard,MA,5000,2
7708,49,211,640,premium,MA,50000,1
11172,36,225,755,premium,ES,20000,0
10781,63,213,643,standard,GB,10000,1
1437,26,164,623,standard,MA,20000,0
9693,19,179,689,standard,MA,10000,1
3771,19,205,802,standard,FR,10000,1
1543,36,3,576,pro,FR,20000,1
5650,47,105,565,standard,FR,20000,0
11227,23,214,428,standard,MA,50000,0
4901,37,86,653,standard,DE,10000,0
7583,73,145,681,standard,DE,5000,0
10461,20,2,815,standard,MA,10000,0
13174,52,221,467,standard,DE,5000,0
7433,33,84,705,premium,FR,10000,0
10500,23,114,586,standard,ES,20000,0
2970,28,120,399,premium,MA,20000,1
456,18,40,775,standard,MA,50000,0
9904,30,44,390,standard,MA,20000,0
10966,40,69,702,standard,MA,10000,0
8745,49,201,381,standard,MA,5000,0
13335,69,47,622,standard,MA,10000,0
496,30,162,599,premium,GB,5000,1
8054,62,101,575,premium,DE,10000,2
11570,66,109,727,standard,FR,5000,0
4007,62,187,501,premium,MA,10000,1
3510,34,186,402,standard,MA,20000,0
6827,21,119,427,premium,GB,5000,0
8583,36,64,716,premium,ES,5000,0
9909,35,9,809,premium,DE,5000,0
4429,46,42,344,premium,ES,5000,2
12411,66,119,678,standard,MA,20000,0
12233,22,85,840,premium,FR,5000,1
611,61,189,509,standard,MA,5000,0
14560,27,17,348,standard,FR,10000,0
5371,26,215,697,standard,MA,5000,0
13088,74,22,507,standard,FR,10000,0
4570,56,189,312,standard,MA,5000,1
2101,74,80,535,standard,MA,10000,1
4310,44,127,766,pro,FR,20000,0
11140,28,57,658,premium,FR,20000,0
1807,31,104,548,premium,FR,10000,0
4488,38,236,459,standard,ES,10000,0
9910,31,218,712,premium,FR,20000,0
7580,28,184,696,pro,FR,5000,0
3491,23,40,591,standard,FR,20000,0
5792,23,102,680,premium,FR,5000,0
13513,39,145,387,standard,MA,10000,0
6720,58,24,823,standard,MA,20000,1
7866,64,90,678,standard,MA,10000,0
12406,41,31,308,premium,MA,5000,0
6178,42,231,814,premium,ES,10000,2
3911,25,184,479,standard,ES,10000,1
2742,56,176,323,standard,DE,20000,0
5249,46,104,371,premium,DE,5000,0
13315,39,224,476,premium,MA,20000,0
7769,65,170,479,standard,MA,5000,0
13455,38,189,518,premium,MA,10000,0
5282,18,33,563,premium,GB,10000,0
239,57,210,413,premium,DE,5000,1
8513,50,46,626,standard,MA,5000,0
13490,19,12,706,standard,FR,5000,0
11093,29,202,598,premium,FR,10000,0
8365,35,1,740,standard,ES,10000,0
14198,69,231,319,standard,MA,10000,0
220,32,208,315,premium,MA,10000,1
9704,39,75,734,standard,MA,10000,0
5298,19,204,496,pro,MA,10000,0
9414,30,180,383,standard,MA,5000,0
5439,61,58,453,standard,MA,5000,0
10749,26,55,585,pro,MA,5000,0
14236,65,215,798,standard,MA,5000,0
8429,61,165,757,standard,ES,10000,1
3490,46,3,492,premium,MA,10000,1
10887,39,145,415,standard,FR,20000,0
8884,68,223,795,premium,ES,20000,0
118,22,127,551,premium,MA,5000,0
3857,35,46,799,standard,MA,10000,0
9615,52,219,506,premium,GB,10000,0
792,63,191,605,standard,MA,5000,0
13476,30,22,432,standard,FR,5000,0
3930,52,58,703,premium,FR,10000,1
2851,57,109,836,standard,MA,20000,1
4699,43,148,369,standard,MA,5000,0
8578,34,210,355,pro,FR,10000,1
5914,69,62,551,standard,MA,20000,0
5764,43,228,514,pro,MA,5000,0
1789,29,107,595,standard,DE,5000,1
11954,52,92,765,standard,DE,10000,0
9239,50,5,372,standard,DE,20000,0
7142,49,21,484,standard,GB,5000,0
1505,37,79,801,premium,DE,5000,0
4896,50,87,840,standard,DE,5000,2
831,38,117,366,pro,GB,10000,1
11303,21,8,683,standard,MA,10000,0
2905,54,232,618,standard,FR,5000,1
1144,22,199,404,standard,ES,5000,0
14974,33,165,453,standard,MA,20000,0
9219,65,31,586,standard,MA,10000,0
3241,22,25,715,standard,MA,20000,1
10040,52,82,431,pro,MA,10000,0
3522,60,62,725,premium,MA,10000,0
5054,39,20,816,standard,MA,10000,0
13461,42,189,421,pro,MA,5000,1
14979,44,183,382,premium,DE,20000,0
4649,59,72,644,standard,MA,5000,1
5095,72,170,627,premium,FR,50000,0
1404,32,180,501,standard,MA,10000,0
98,40,19,407,premium,MA,50000,1
14890,30,29,433,standard,MA,20000,0
12324,55,26,776,standard,MA,20000,0
7691,46,84,731,standard,GB,5000,2
9964,32,87,572,pro,MA,5000,0
12505,29,189,586,standard,MA,5000,0
7599,65,219,702,standard,MA,10000,1
4386,74,136,469,standard,MA,20000,2
2061,24,194,536,premium,MA,20000,0
9140,71,190,725,standard,FR,10000,0
2754,22,85,530,premium,FR,20000,0
6541,45,83,773,standard,MA,5000,0
970,44,65,460,standard,GB,10000,1
14647,37,212,330,standard,MA,50000,0
5157,61,142,776,premium,MA,5000,0
2561,62,209,681,standard,DE,5000,0
10534,42,238,847,standard,MA,5000,0
11114,38,79,670,standard,FR,20000,1
1264,61,157,715,premium,MA,10000,0
6170,37,154,823,pro,MA,20000,0
7074,23,173,706,standard,MA,10000,1
13259,53,151,710,standard,ES,10000,0
5052,73,108,361,standard,MA,10000,0
11030,73,6,767,standard,GB,10000,0
14873,25,43,643,standard,FR,10000,0
5244,26,83,584,premium,ES,10000,1
11775,41,67,371,standard,FR,20000,1
8940,25,143,353,standard,FR,50000,0
13196,51,18,829,standard,FR,5000,0
8710,44,190,390,premium,MA,5000,0
13375,57,136,811,standard,FR,5000,0
8571,22,56,565,premium,MA,10000,0
13895,38,80,760,standard,MA,5000,0
1439,23,204,730,standard,MA,5000,0
13491,68,62,716,pro,MA,10000,0
11236,54,27,639,standard,GB,5000,1
3457,58,195,403,standard,MA,5000,1
238,51,227,768,standard,FR,10000,0
7131,68,171,609,premium,ES,10000,1
8798,24,165,534,standard,MA,10000,0
11254,43,18,679,standard,GB,10000,0
12107,29,77,440,standard,MA,10000,0
13881,22,28,797,standard,MA,10000,0
8001,24,1,703,premium,MA,5000,0
5808,34,96,515,standard,MA,5000,1
12645,62,223,334,standard,MA,20000,1
10535,48,60,691,premium,MA,5000,0
2699,40,1,789,standard,DE,5000,1
6614,43,139,711,standard,FR,10000,0
2704,23,56,698,standard,DE,10000,0
7012,59,50,844,premium,MA,20000,1
11963,27,220,608,standard,ES,10000,1
6166,41,152,415,standard,MA,10000,0
8052,22,196,355,premium,MA,10000,0
4997,32,43,671,standard,MA,20000,0
11547,58,188,407,standard,FR,20000,0
4361,69,207,719,premium,MA,10000,1
145,69,183,304,standard,ES,20000,1
1549,66,76,756,standard,MA,5000,0
2041,22,133,423,standard,MA,10000,1
10591,44,160,394,premium,ES,10000,0
13488,33,199,552,standard,MA,50000,0
4369,36,220,707,standard,MA,10000,0
4385,54,187,705,standard,ES,10000,0
5968,39,139,549,standard,MA,20000,0
9551,40,12,594,premium,MA,20000,0
6402,42,31,770,standard,ES,5000,1
1594,18,219,707,standard,GB,5000,1
17,39,11,847,standard,MA,10000,0
6403,73,184,380,standard,ES,10000,1
10050,31,79,742,standard,MA,10000,0
11323,30,189,700,standard,MA,5000,0
9007,30,38,786,premium,MA,10000,0
10250,33,65,347,premium,MA,50000,1
11142,21,100,789,standard,FR,20000,0
2192,26,52,709,standard,FR,5000,0
4355,67,61,313,standard,FR,5000,1
6156,63,56,359,standard,MA,5000,0
4182,64,164,660,standard,FR,20000,1
5911,52,82,735,premium,MA,10000,0
9300,50,152,701,standard,FR,50000,2
7198,18,117,643,standard,MA,50000,0
5950,68,1,757,premium,MA,10000,0
8143,65,68,598,premium,MA,50000,0
11481,36,90,369,premium,FR,5000,0
11548,35,98,632,premium,MA,5000,0
14601,28,8,350,standard,DE,5000,0
1193,48,174,605,premium,DE,5000,0
14215,29,189,535,standard,MA,50000,0
1531,43,16,304,standard,GB,5000,1
2177,36,12,531,premium,ES,10000,1
11059,38,214,495,standard,GB,5000,1
1861,61,89,639,standard,FR,5000,0
3633,73,162,449,premium,MA,5000,0
6967,45,223,697,standard,FR,10000,1
9348,63,161,519,premium,MA,10000,0
1569,43,202,483,premium,DE,5000,1
7831,68,17,695,standard,MA,5000,0
4853,56,64,520,standard,ES,5000,0
4931,32,77,536,premium,ES,5000,0
3773,23,234,781,standard,DE,10000,0
6863,39,95,729,premium,FR,5000,0
868,46,174,505,pro,MA,5000,0
6710,40,158,680,premium,DE,5000,0
14713,21,220,307,pro,FR,50000,0
6117,30,102,513,pro,DE,5000,1
11772,40,150,690,standard,MA,20000,1
13554,31,200,672,standard,MA,20000,1
14234,18,62,361,premium,MA,20000,0
8600,69,52,608,pro,MA,50000,1
7382,42,133,400,pro,FR,5000,0
13819,49,85,627,standard,MA,5000,0
14835,41,173,317,pro,MA,20000,0
9095,69,150,765,premium,MA,20000,0
5766,34,141,333,standard,ES,10000,0
6122,74,27,399,pro,MA,20000,0
6817,36,225,364,standard,MA,20000,1
14558,25,41,796,premium,MA,10000,0
6529,51,18,601,premium,MA,10000,0
6270,49,148,549,premium,FR,5000,1
3517,51,224,332,premium,FR,10000,0
2606,21,82,322,standard,FR,5000,1
3461,22,6,566,standard,FR,10000,0
782,62,196,666,standard,MA,10000,1
6835,39,147,529,standard,MA,20000,0
6173,47,8,814,standard,MA,5000,1
11560,29,9,755,premium,GB,5000,0
9529,26,210,833,standard,MA,5000,0
3524,37,190,740,standard,MA,10000,0
753,66,132,631,premium,MA,10000,0
10871,52,84,512,pro,MA,5000,0
13639,30,4,802,standard,MA,20000,0
9552,46,205,578,premium,MA,5000,0
12496,25,29,640,standard,MA,20000,1
9941,68,118,823,pro,MA,5000,1
3433,71,17,668,standard,MA,10000,0
10652,26,149,662,standard,FR,5000,0
6494,71,78,366,standard,MA,20000,0
6547,70,29,761,premium,DE,20000,1
594,44,78,447,standard,GB,10000,0
3835,27,26,423,standard,MA,10000,0
7421,74,189,321,standard,MA,20000,0
13514,47,220,835,premium,MA,10000,0
6665,27,235,593,premium,FR,10000,1
13041,38,108,642,standard,MA,5000,0
14497,53,216,780,premium,MA,20000,0
8668,60,48,325,standard,FR,10000,0
3604,38,218,717,standard,DE,10000,1
14084,62,191,798,standard,MA,5000,0
3902,20,62,764,premium,ES,10000,1
9430,25,3,562,standard,MA,20000,1
8931,46,179,314,standard,MA,5000,1
13075,54,109,788,standard,ES,20000,1
3484,73,132,464,premium,FR,10000,0
1485,67,163,377,premium,MA,10000,0
7904,57,218,404,standard,FR,5000,0
7081,70,148,598,premium,MA,5000,0
10155,30,67,471,standard,MA,5000,2
8120,55,186,553,standard,FR,10000,0
